Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,URL_Entropy,Domain_Entropy,Subdomain_Count,Digit_Count,Special_Char_Count,Uppercase_Ratio,Domain_Age,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
cdc-net-banquedesteritoires.fr,0,0,1,3,0,0,0,1,4.350286179349315,3.802910079649727,0,0,0,0.037037037037037035,-1,1,0,1,0,1
q-r.to,0,0,0,1,0,0,0,1,3.499227541723357,2.584962500721156,0,0,0,0.047619047619047616,-1,0,0,1,0,1
docs.google.com,0,0,1,4,0,0,0,0,5.295844804105328,2.9735572622751856,1,8,7,0.16793893129770993,-1,1,0,1,0,1
telegrrm.wang,0,0,0,0,0,0,0,0,3.7544418457133455,3.238901256602631,0,0,0,0.0,-1,1,1,1,1,1
gmxwourqg2.weebly.com,0,0,0,0,0,0,0,0,4.2817276788697365,3.8208888513501886,1,1,0,0.0,-1,1,1,1,1,1
pagepolicy-centerbussiness.pages.dev,0,0,0,0,0,0,0,1,4.146756984930102,3.9511943630832227,1,0,0,0.0,-1,1,1,1,1,1
new.express.adobe.com,0,0,0,2,0,0,0,0,4.588421175007882,3.5944656369614525,2,0,0,0.13725490196078433,-1,1,0,1,0,1
allegrolokalnie.pl-78111.cfd,0,0,0,0,0,0,0,1,4.261725074756387,3.937193208607594,1,5,0,0.0,-1,1,1,1,1,1
q-r.to,0,0,0,1,0,0,0,1,3.844232898763192,2.584962500721156,0,2,0,0.047619047619047616,-1,0,0,1,0,1
deskloni.web.app,0,0,0,0,0,0,0,0,3.9434651896016475,3.625,1,0,0,0.0,-1,1,1,1,1,1
tinyurl.com,0,0,0,1,0,0,1,0,4.5514621540398,3.459431618637298,0,5,0,0.0,-1,1,0,1,0,1
teresaparfittt-my-cheetah-website.site.builderall.net,0,0,1,0,0,0,0,1,4.04648774627663,3.9108683314726678,2,0,0,0.0,-1,1,1,1,1,1
thetollroads-paytollsala.xin,0,0,0,0,0,0,0,1,3.872049488456949,3.6959472263874704,0,0,0,0.0,-1,1,1,1,1,1
l.ead.me,0,0,0,1,0,0,0,0,3.9690016298759927,2.5,1,2,0,0.08695652173913043,-1,1,1,1,1,1
sofor2.web.app,0,0,0,0,0,0,0,0,3.7622673906514943,3.378783493486176,1,1,0,0.0,-1,1,1,1,1,1
bov-mt.web.app,0,0,0,0,0,0,0,1,3.729446194905256,3.378783493486176,1,0,0,0.0,-1,1,1,1,1,1
