Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,URL_Entropy,Domain_Entropy,Subdomain_Count,Digit_Count,Special_Char_Count,Uppercase_Ratio,Domain_Age,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
en.wikipedia.org,0,0,0,2,0,0,0,0,4.161313030086848,3.452819531114783,1,0,0,0.044444444444444446,-1,1,1,1,1,0
amazon.com,0,0,1,3,0,0,0,0,4.768932408260585,2.721928094887362,0,10,0,0.06578947368421052,-1,1,0,1,0,0
fancypantsadventures.com,0,0,0,0,0,0,0,0,4.134468568039292,3.855388542207534,0,0,0,0.0,-1,1,1,1,1,0
pipl.com,0,0,0,4,0,0,0,0,4.365601562950723,2.75,0,4,0,0.020833333333333332,-1,0,0,1,0,0
casamanana.org,0,0,0,2,0,0,0,0,4.070274864794702,2.8352377453121176,0,0,0,0.0,-1,0,0,1,0,0
inkboat.com,0,0,0,2,0,0,1,0,3.9232603248627798,3.277613436819116,0,0,0,0.0,-1,1,0,1,0,0
new-india.com,0,0,0,0,0,0,0,1,3.9021748142117283,3.3927474104487847,0,0,0,0.0,-1,1,1,1,1,0
framesdirect.com,0,0,1,2,0,0,1,0,4.355017098490838,3.5,0,0,0,0.03076923076923077,-1,0,0,1,0,0
grandmastree.com,0,0,1,3,0,0,0,0,4.3586597124488335,3.5,0,0,0,0.0,-1,1,0,1,0,0
en.wikipedia.org,0,0,0,2,0,0,0,0,4.390074997229215,3.452819531114783,1,0,2,0.038461538461538464,-1,1,1,1,1,0
facebook.com,0,0,0,3,0,0,0,0,4.688339901158579,3.0220552088742005,0,9,0,0.038461538461538464,-1,1,0,1,0,0
fox16.com,0,0,1,5,0,0,0,0,4.91146015779119,2.94770277922009,0,7,1,0.11570247933884298,-1,1,0,1,0,0
ewellness.com,0,0,0,3,0,0,0,0,4.403107168362811,3.0269868333592873,0,8,0,0.0,-1,1,0,1,0,0
thefreedictionary.com,0,0,0,1,0,0,0,0,4.189238255803026,3.6897037321995474,0,0,0,0.023809523809523808,-1,1,0,1,0,0
santabarbara.com,0,0,1,2,0,0,0,0,4.428620065499402,3.0243974703476995,0,3,1,0.0,-1,1,1,1,1,0
money.cnn.com,0,0,0,0,0,0,0,0,3.572623663895164,2.7192945256669794,1,0,0,0.0,-1,0,0,1,0,0
baseball-reference.com,0,0,1,3,0,0,0,1,4.363070754223674,3.4771752334356245,0,2,0,0.0,-1,1,0,1,0,0
royalbadminton.com,0,0,0,0,0,0,0,0,4.082597923010944,3.57243125132212,0,0,0,0.0,-1,1,1,1,1,0
acadian-cajun.com,0,0,0,1,0,0,0,1,3.9431383009621594,3.2195282822995477,0,0,0,0.0,-1,1,1,1,1,0
flightaware.com,0,0,1,4,0,0,0,0,4.131892478947319,3.773557262275186,0,0,0,0.06896551724137931,-1,1,0,1,0,0
